Nombre,Habilidades,Resistance vs Bug,Resistance vs Dark,Resistance vs Dragon,Resistance vs Electric,Resistance vs Fairy,Resistance vs Fighting,Resistance vs Fire,Resistance vs Flying,Resistance vs Ghost,Resistance vs Grass,Resistance vs Ground,Resistance vs Ice,Resistance vs Normal,Resistance vs Poison,Resistance vs Psychic,Resistance vs Rock,Resistance vs Steel,Resistance vs Water,Ataque,total_estadisticas,ratio_captura,Defensa,altura,PS,id_pokemon,ataque_especial,defensa_especial,Velocidad,Tipo 1,Tipo 2,peso,generacion,es_legendario
Kingler,"Hyper Cutter, Shell Armor, Sheer Force",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,130,475,60.0,115,1.3,55,99,50,50,75,Water,None,60.0,1,0
Voltorb,"Soundproof, Static, Aftermath",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,30,330,190.0,50,0.5,40,100,55,55,100,Electric,None,10.4,1,0
Electrode,"Soundproof, Static, Aftermath",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,50,490,60.0,70,1.2,60,101,80,80,150,Electric,None,66.6,1,0
Exeggcute,"Chlorophyll, Harvest",4.0,2.0,1.0,0.5,1.0,0.5,2.0,2.0,2.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,0.5,40,325,90.0,80,0.4,60,102,60,45,40,Grass,Psychic,2.5,1,0
Exeggutor,"Chlorophyll, Harvest, Frisk, Harvest",4.0,2.0,1.0,0.5,1.0,0.5,2.0,2.0,2.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,0.5,105,530,45.0,85,0.0,95,103,125,75,45,Grass,Psychic,0.0,1,0
Cubone,"Rock Head, Lightningrod, Battle Armor",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,50,320,190.0,95,0.4,50,104,40,50,35,Ground,None,6.5,1,0
Marowak,"Rock Head, Lightningrod, Battle Armor, Cursed Body, Lightningrod, Rock Head",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,80,425,75.0,110,0.0,60,105,50,80,45,Ground,Fire,0.0,1,0
Hitmonlee,"Limber, Reckless, Unburden",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,120,455,45.0,53,1.5,50,106,35,110,87,Fighting,None,49.8,1,0
Hitmonchan,"Keen Eye, Iron Fist, Inner Focus",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,105,455,45.0,79,1.4,50,107,35,110,76,Fighting,None,50.2,1,0
Lickitung,"Own Tempo, Oblivious, Cloud Nine",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,55,385,45.0,75,1.2,90,108,60,75,30,Normal,None,65.5,1,0
Koffing,Levitate,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,65,340,190.0,95,0.6,40,109,60,45,35,Poison,None,1.0,1,0
Weezing,Levitate,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,90,490,60.0,120,1.2,65,110,85,70,60,Poison,None,9.5,1,0
Rhyhorn,"Lightningrod, Rock Head, Reckless",1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,85,345,120.0,95,1.0,80,111,30,30,25,Ground,Rock,115.0,1,0
Rhydon,"Lightningrod, Rock Head, Reckless",1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,130,485,60.0,120,1.9,105,112,45,45,40,Ground,Rock,120.0,1,0
Chansey,"Natural Cure, Serene Grace, Healer",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,450,30.0,5,1.1,250,113,35,105,50,Normal,None,34.6,1,0
Tangela,"Chlorophyll, Leaf Guard, Regenerator",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,55,435,45.0,115,1.0,65,114,100,40,60,Grass,None,35.0,1,0
Kangaskhan,"Early Bird, Scrappy, Inner Focus",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,125,590,45.0,100,2.2,105,115,60,100,100,Normal,None,80.0,1,0
Horsea,"Swift Swim, Sniper, Damp",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,40,295,225.0,70,0.4,30,116,70,25,60,Water,None,8.0,1,0
Seadra,"Poison Point, Sniper, Damp",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,65,440,75.0,95,1.2,55,117,95,45,85,Water,None,25.0,1,0
Goldeen,"Swift Swim, Water Veil, Lightningrod",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,67,320,225.0,60,0.6,45,118,35,50,63,Water,None,15.0,1,0
Seaking,"Swift Swim, Water Veil, Lightningrod",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,92,450,60.0,65,1.3,80,119,65,80,68,Water,None,39.0,1,0
Staryu,"Illuminate, Natural Cure, Analytic",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,45,340,225.0,55,0.8,30,120,70,55,85,Water,None,34.5,1,0
Starmie,"Illuminate, Natural Cure, Analytic",2.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5,75,520,60.0,85,1.1,60,121,100,85,115,Water,Psychic,80.0,1,0
Mr. Mime,"Soundproof, Filter, Technician",1.0,1.0,0.0,1.0,1.0,0.25,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,2.0,1.0,45,460,45.0,65,1.3,40,122,100,120,90,Psychic,Fairy,54.5,1,0
Scyther,"Swarm, Technician, Steadfast",0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,110,500,45.0,80,1.5,70,123,55,80,105,Bug,Flying,56.0,1,0
Jynx,"Oblivious, Forewarn, Dry Skin",2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,0.5,2.0,2.0,1.0,50,455,45.0,35,1.4,65,124,115,95,95,Ice,Psychic,40.6,1,0
Electabuzz,"Static, Vital Spirit",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,83,490,45.0,57,1.1,65,125,95,85,105,Electric,None,30.0,1,0
Magmar,"Flame Body, Vital Spirit",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,95,495,45.0,57,1.3,65,126,100,85,93,Fire,None,44.5,1,0
Pinsir,"Hyper Cutter, Mold Breaker, Moxie",1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,155,600,45.0,120,1.5,65,127,65,90,105,Bug,None,55.0,1,0
Tauros,"Intimidate, Anger Point, Sheer Force",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100,490,45.0,95,1.4,75,128,40,70,110,Normal,None,88.4,1,0
Magikarp,"Swift Swim, Rattled",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,10,200,255.0,55,0.9,20,129,15,20,80,Water,None,10.0,1,0
Gyarados,"Intimidate, Moxie",0.5,1.0,1.0,4.0,1.0,0.5,0.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5,155,640,45.0,109,6.5,95,130,70,130,81,Water,Flying,235.0,1,0
Lapras,"Water Absorb, Shell Armor, Hydration",1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.25,1.0,1.0,1.0,2.0,1.0,0.5,85,535,45.0,80,2.5,130,131,85,95,60,Water,Ice,220.0,1,0
Ditto,"Limber, Imposter",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,48,288,35.0,48,0.3,48,132,48,48,48,Normal,None,4.0,1,0
Eevee,"Run Away, Adaptability, Anticipation",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,55,325,45.0,50,0.3,55,133,45,65,55,Normal,None,6.5,1,0
Vaporeon,"Water Absorb, Hydration",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,65,525,45.0,60,1.0,130,134,110,95,65,Water,None,29.0,1,0
Jolteon,"Volt Absorb, Quick Feet",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,65,525,45.0,60,0.8,65,135,110,95,130,Electric,None,24.5,1,0
Flareon,"Flash Fire, Guts",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,130,525,45.0,60,0.9,65,136,95,110,65,Fire,None,25.0,1,0
Porygon,"Trace, Download, Analytic",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,60,395,45.0,70,0.8,65,137,85,75,40,Normal,None,36.5,1,0
Omanyte,"Swift Swim, Shell Armor, Weak Armor",1.0,1.0,1.0,2.0,1.0,2.0,0.25,0.5,1.0,4.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,40,355,45.0,100,0.4,35,138,90,55,35,Rock,Water,7.5,1,0
Omastar,"Swift Swim, Shell Armor, Weak Armor",1.0,1.0,1.0,2.0,1.0,2.0,0.25,0.5,1.0,4.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,60,495,45.0,125,1.0,70,139,115,70,55,Rock,Water,35.0,1,0
Kabuto,"Swift Swim, Battle Armor, Weak Armor",1.0,1.0,1.0,2.0,1.0,2.0,0.25,0.5,1.0,4.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,80,355,45.0,90,0.5,30,140,55,45,55,Rock,Water,11.5,1,0
Kabutops,"Swift Swim, Battle Armor, Weak Armor",1.0,1.0,1.0,2.0,1.0,2.0,0.25,0.5,1.0,4.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,115,495,45.0,105,1.3,60,141,65,70,80,Rock,Water,40.5,1,0
Aerodactyl,"Rock Head, Pressure, Unnerve",0.5,1.0,1.0,2.0,1.0,1.0,0.5,0.5,1.0,1.0,0.0,2.0,0.5,0.5,1.0,2.0,2.0,2.0,135,615,45.0,85,1.8,80,142,70,95,150,Rock,Flying,59.0,1,0
Snorlax,"Immunity, Thick Fat, Gluttony",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,110,540,25.0,65,2.1,160,143,65,110,30,Normal,None,460.0,1,0
Articuno,"Pressure, Snow Cloak",0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,85,580,3.0,100,1.7,90,144,95,125,85,Ice,Flying,55.4,1,1
Zapdos,"Pressure, Static",0.5,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,0.5,1.0,90,580,3.0,85,1.6,90,145,125,90,100,Electric,Flying,52.6,1,1
Moltres,"Pressure, Flame Body",0.25,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,0.25,0.0,1.0,1.0,1.0,1.0,4.0,0.5,2.0,100,580,3.0,90,2.0,90,146,125,85,90,Fire,Flying,60.0,1,1
Dratini,"Shed Skin, Marvel Scale",1.0,1.0,2.0,0.5,2.0,1.0,0.5,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,64,300,45.0,45,1.8,41,147,50,50,50,Dragon,None,3.3,1,0
Dragonair,"Shed Skin, Marvel Scale",1.0,1.0,2.0,0.5,2.0,1.0,0.5,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,84,420,45.0,65,4.0,61,148,70,70,70,Dragon,None,16.5,1,0
Dragonite,"Inner Focus, Multiscale",0.5,1.0,2.0,1.0,2.0,0.5,0.5,1.0,1.0,0.25,0.0,4.0,1.0,1.0,1.0,2.0,1.0,0.5,134,600,45.0,95,2.2,91,149,100,100,80,Dragon,Flying,210.0,1,0
Mewtwo,"Pressure, Unnerve",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,150,780,3.0,70,2.0,106,150,194,120,140,Psychic,None,122.0,1,1
Mew,Synchronize,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,100,600,45.0,100,0.4,100,151,100,100,100,Psychic,None,4.0,1,1
Chikorita,"Overgrow, Leaf Guard",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,49,318,45.0,65,0.9,45,152,49,65,45,Grass,None,6.4,2,0
Bayleef,"Overgrow, Leaf Guard",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,62,405,45.0,80,1.2,60,153,63,80,60,Grass,None,15.8,2,0
Meganium,"Overgrow, Leaf Guard",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,82,525,45.0,100,1.8,80,154,83,100,80,Grass,None,100.5,2,0
Cyndaquil,"Blaze, Flash Fire",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,52,309,45.0,43,0.5,39,155,60,50,65,Fire,None,7.9,2,0
Quilava,"Blaze, Flash Fire",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,64,405,45.0,58,0.9,58,156,80,65,80,Fire,None,19.0,2,0
Typhlosion,"Blaze, Flash Fire",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,84,534,45.0,78,1.7,78,157,109,85,100,Fire,None,79.5,2,0
Totodile,"Torrent, Sheer Force",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,65,314,45.0,64,0.6,50,158,44,48,43,Water,None,9.5,2,0
Croconaw,"Torrent, Sheer Force",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,80,405,45.0,80,1.1,65,159,59,63,58,Water,None,25.0,2,0
Feraligatr,"Torrent, Sheer Force",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,105,530,45.0,100,2.3,85,160,79,83,78,Water,None,88.8,2,0
Sentret,"Run Away, Keen Eye, Frisk",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,46,215,255.0,34,0.8,35,161,35,45,20,Normal,None,6.0,2,0
Furret,"Run Away, Keen Eye, Frisk",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,76,415,90.0,64,1.8,85,162,45,55,90,Normal,None,32.5,2,0
Hoothoot,"Insomnia, Keen Eye, Tinted Lens",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,30,262,255.0,30,0.7,60,163,36,56,50,Normal,Flying,21.2,2,0
Noctowl,"Insomnia, Keen Eye, Tinted Lens",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,50,452,90.0,50,1.6,100,164,86,96,70,Normal,Flying,40.8,2,0
Ledyba,"Swarm, Early Bird, Rattled",0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,20,265,255.0,30,1.0,40,165,40,80,55,Bug,Flying,10.8,2,0
Ledian,"Swarm, Early Bird, Iron Fist",0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,35,390,90.0,50,1.4,55,166,55,110,85,Bug,Flying,35.6,2,0
Spinarak,"Swarm, Insomnia, Sniper",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,60,250,255.0,40,0.5,40,167,40,40,30,Bug,Poison,8.5,2,0
Ariados,"Swarm, Insomnia, Sniper",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,90,400,90.0,70,1.1,70,168,60,70,40,Bug,Poison,33.5,2,0
Crobat,"Inner Focus, Infiltrator",0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0,90,535,90.0,80,1.8,85,169,70,80,130,Poison,Flying,75.0,2,0
Chinchou,"Volt Absorb, Illuminate, Water Absorb",1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,2.0,2.0,0.5,1.0,1.0,1.0,1.0,0.25,0.5,38,330,190.0,38,0.5,75,170,56,56,67,Water,Electric,12.0,2,0
Lanturn,"Volt Absorb, Illuminate, Water Absorb",1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,2.0,2.0,0.5,1.0,1.0,1.0,1.0,0.25,0.5,58,460,75.0,58,1.2,125,171,76,76,67,Water,Electric,22.5,2,0
Pichu,"Static, Lightningrod",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,40,205,190.0,15,0.3,20,172,35,35,60,Electric,None,2.0,2,0
Cleffa,"Cute Charm, Magic Guard, Friend Guard",0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,25,218,150.0,28,0.3,50,173,45,55,15,Fairy,None,3.0,2,0
Igglybuff,"Cute Charm, Competitive, Friend Guard",0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,30,210,170.0,15,0.3,90,174,40,20,15,Normal,Fairy,1.0,2,0
Togepi,"Hustle, Serene Grace, Super Luck",0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,20,245,190.0,65,0.3,35,175,40,65,20,Fairy,None,1.5,2,0
Togetic,"Hustle, Serene Grace, Super Luck",0.25,0.5,0.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,0.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,40,405,75.0,85,0.6,55,176,80,105,40,Fairy,Flying,3.2,2,0
Natu,"Synchronize, Early Bird, Magic Bounce",1.0,2.0,1.0,2.0,1.0,0.25,1.0,1.0,2.0,0.5,0.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,50,320,190.0,45,0.2,40,177,70,45,70,Psychic,Flying,2.0,2,0
Xatu,"Synchronize, Early Bird, Magic Bounce",1.0,2.0,1.0,2.0,1.0,0.25,1.0,1.0,2.0,0.5,0.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,75,470,75.0,70,1.5,65,178,95,70,95,Psychic,Flying,15.0,2,0
Mareep,"Static, Plus",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,40,280,235.0,40,0.6,55,179,65,45,35,Electric,None,7.8,2,0
Flaaffy,"Static, Plus",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,55,365,120.0,55,0.8,70,180,80,60,45,Electric,None,13.3,2,0
Ampharos,"Static, Plus",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,95,610,45.0,105,1.4,90,181,165,110,45,Electric,None,61.5,2,0
Bellossom,"Chlorophyll, Healer",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,80,490,45.0,95,0.4,75,182,90,100,50,Grass,None,5.8,2,0
Marill,"Thick Fat, Huge Power, Sap Sipper",0.5,0.5,0.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,20,250,190.0,50,0.4,70,183,20,50,40,Water,Fairy,8.5,2,0
Azumarill,"Thick Fat, Huge Power, Sap Sipper",0.5,0.5,0.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,50,420,75.0,80,0.8,100,184,60,80,50,Water,Fairy,28.5,2,0
Sudowoodo,"Sturdy, Rock Head, Rattled",1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,2.0,100,410,65.0,115,1.2,70,185,30,65,30,Rock,None,38.0,2,0
Politoed,"Water Absorb, Damp, Drizzle",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,75,500,45.0,75,1.1,90,186,90,100,70,Water,None,33.9,2,0
Hoppip,"Chlorophyll, Leaf Guard, Infiltrator",1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.25,0.0,4.0,1.0,2.0,1.0,2.0,1.0,0.5,35,250,255.0,40,0.4,35,187,35,55,50,Grass,Flying,0.5,2,0
Skiploom,"Chlorophyll, Leaf Guard, Infiltrator",1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.25,0.0,4.0,1.0,2.0,1.0,2.0,1.0,0.5,45,340,120.0,50,0.6,55,188,45,65,80,Grass,Flying,1.0,2,0
Jumpluff,"Chlorophyll, Leaf Guard, Infiltrator",1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.25,0.0,4.0,1.0,2.0,1.0,2.0,1.0,0.5,55,460,45.0,70,0.8,75,189,55,95,110,Grass,Flying,3.0,2,0
Aipom,"Run Away, Pickup, Skill Link",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,70,360,45.0,55,0.8,55,190,40,55,85,Normal,None,11.5,2,0
Sunkern,"Chlorophyll, Solar Power, Early Bird",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,30,180,235.0,30,0.3,30,191,30,30,30,Grass,None,1.8,2,0
Sunflora,"Chlorophyll, Solar Power, Early Bird",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,75,425,120.0,55,0.8,75,192,105,85,30,Grass,None,8.5,2,0
Yanma,"Speed Boost, Compoundeyes, Frisk",0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,65,390,75.0,45,1.2,65,193,75,45,95,Bug,Flying,38.0,2,0
Wooper,"Damp, Water Absorb, Unaware",1.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,4.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0,45,210,255.0,45,0.4,55,194,25,25,15,Water,Ground,8.5,2,0
Quagsire,"Damp, Water Absorb, Unaware",1.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,4.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0,85,430,90.0,85,1.4,95,195,65,65,35,Water,Ground,75.0,2,0
Espeon,"Synchronize, Magic Bounce",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,65,525,45.0,60,0.9,65,196,130,95,110,Psychic,None,26.5,2,0
Umbreon,"Synchronize, Inner Focus",2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,65,525,45.0,110,1.0,95,197,60,130,65,Dark,None,27.0,2,0
Murkrow,"Insomnia, Super Luck, Prankster",1.0,0.5,1.0,2.0,2.0,1.0,1.0,1.0,0.5,0.5,0.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,85,405,30.0,42,0.5,60,198,85,42,91,Dark,Flying,2.1,2,0
Slowking,"Oblivious, Own Tempo, Regenerator",2.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5,75,490,70.0,80,2.0,95,199,100,110,30,Water,Psychic,79.5,2,0
Misdreavus,Levitate,0.5,2.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,1.0,60,435,45.0,60,0.7,60,200,85,85,85,Ghost,None,1.0,2,0
