Nombre,Habilidades,Resistencia vs Insecto,Resistencia vs Siniestro,Resistencia vs Dragón,Resistencia vs Electrico,Resistencia vs Hada,Resistencia vs Lucha,Resistencia vs Fuego,Resistencia vs Volador,Resistencia vs Fantasma,Resistencia vs Planta,Resistencia vs Tierra,Resistencia vs Hielo,Resistencia vs Normal,Resistencia vs Veneno,Resistencia vs Psiquico,Resistencia vs Roca,Resistencia vs Acero,Resistencia vs Agua,Ataque,Pasos Eclosión,Felicidad Base,Total Estadísticas,Ratio de Captura,Categoría,Defensa,Crecimiento Experiencia,Altura (m),PS,Porcentaje Macho,Número Pokedex,Ataque Especial,Defensa Especial,Velocidad,Tipo 1,Tipo 2,Peso (kg),Generación,Es Legendario
Dewgong,"Thick Fat, Hydration, Ice Body",1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.25,1.0,1.0,1.0,2.0,1.0,0.5,70,5120,70,475,75,Sea Lion,80,1000000,1.7,90,50.0,87,70,95,70,Agua,Hielo,120.0,1,0
Grimer,"Stench, Sticky Hold, Poison Touch, Poison Touch, Gluttony, Power Of Alchemy",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,80,5120,70,325,190,Sludge,50,1000000,,80,50.0,88,40,50,25,Veneno,Veneno,,1,0
Muk,"Stench, Sticky Hold, Poison Touch, Poison Touch, Gluttony, Power Of Alchemy",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,105,5120,70,500,75,Sludge,75,1000000,,105,50.0,89,65,100,50,Veneno,Veneno,,1,0
Shellder,"Shell Armor, Skill Link, Overcoat",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,65,5120,70,305,190,Bivalve,100,1250000,0.3,30,50.0,90,45,25,40,Agua,,4.0,1,0
Cloyster,"Shell Armor, Skill Link, Overcoat",1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.25,1.0,1.0,1.0,2.0,1.0,0.5,95,5120,70,525,60,Bivalve,180,1250000,1.5,50,50.0,91,85,45,70,Agua,Hielo,132.5,1,0
Gastly,Levitación,0.25,2.0,1.0,1.0,0.5,0.0,1.0,1.0,2.0,0.5,2.0,1.0,0.0,0.25,2.0,1.0,1.0,1.0,35,5120,70,310,190,Gas,30,1059860,1.3,30,50.0,92,100,35,80,Fantasma,Veneno,0.1,1,0
Haunter,Levitación,0.25,2.0,1.0,1.0,0.5,0.0,1.0,1.0,2.0,0.5,2.0,1.0,0.0,0.25,2.0,1.0,1.0,1.0,50,5120,70,405,90,Gas,45,1059860,1.6,45,50.0,93,115,55,95,Fantasma,Veneno,0.1,1,0
Gengar,Cursed Body,0.25,2.0,1.0,1.0,0.5,0.0,1.0,1.0,2.0,0.5,2.0,1.0,0.0,0.25,2.0,1.0,1.0,1.0,65,5120,70,600,45,Shadow,80,1059860,1.5,60,50.0,94,170,95,130,Fantasma,Veneno,40.5,1,0
Onix,"Rock Head, Firmeza, Weak Armor",1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,45,6400,70,385,45,Rock Snake,160,1000000,8.8,35,50.0,95,30,45,70,Roca,Tierra,210.0,1,0
Drowzee,"Insomnia, Forewarn, Foco Interno",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,48,5120,70,328,190,Hypnosis,45,1000000,1.0,60,50.0,96,43,90,42,Psíquico,,32.4,1,0
Hypno,"Insomnia, Forewarn, Foco Interno",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,73,5120,70,483,75,Hypnosis,70,1000000,1.6,85,50.0,97,73,115,67,Psíquico,,75.6,1,0
Krabby,"Hyper Cutter, Shell Armor, Sheer Force",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,105,5120,70,325,225,River Crab,90,1000000,0.4,30,50.0,98,25,25,50,Agua,,6.5,1,0
Kingler,"Hyper Cutter, Shell Armor, Sheer Force",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,130,5120,70,475,60,Pincer,115,1000000,1.3,55,50.0,99,50,50,75,Agua,,60.0,1,0
Voltorb,"Soundproof, Electricidad Estática, Aftermath",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,30,5120,70,330,190,Ball,50,1000000,0.5,40,,100,55,55,100,Eléctrico,,10.4,1,0
Electrode,"Soundproof, Electricidad Estática, Aftermath",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,50,5120,70,490,60,Ball,70,1000000,1.2,60,,101,80,80,150,Eléctrico,,66.6,1,0
Exeggcute,"Clorofila, Harvest",4.0,2.0,1.0,0.5,1.0,0.5,2.0,2.0,2.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,0.5,40,5120,70,325,90,Egg,80,1250000,0.4,60,50.0,102,60,45,40,Planta,Psíquico,2.5,1,0
Exeggutor,"Clorofila, Harvest, Frisk, Harvest",4.0,2.0,1.0,0.5,1.0,0.5,2.0,2.0,2.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,0.5,105,5120,70,530,45,Coconut,85,1250000,,95,50.0,103,125,75,45,Planta,Psíquico,,1,0
Cubone,"Rock Head, Lightningrod, Battle Armor",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,50,5120,70,320,190,Lonely,95,1000000,0.4,50,50.0,104,40,50,35,Tierra,,6.5,1,0
Marowak,"Rock Head, Lightningrod, Battle Armor, Cursed Body, Lightningrod, Rock Head",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,80,5120,70,425,75,Bone Keeper,110,1000000,,60,50.0,105,50,80,45,Tierra,Fuego,,1,0
Hitmonlee,"Flexibilidad, Reckless, Unburden",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,120,6400,70,455,45,Kicking,53,1000000,1.5,50,100.0,106,35,110,87,Lucha,,49.8,1,0
Hitmonchan,"Vista Lince, Iron Fist, Foco Interno",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,105,6400,70,455,45,Punching,79,1000000,1.4,50,100.0,107,35,110,76,Lucha,,50.2,1,0
Lickitung,"Ritmo Propio, Despiste, Cloud Nine",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,55,5120,70,385,45,Licking,75,1000000,1.2,90,50.0,108,60,75,30,Normal,,65.5,1,0
Koffing,Levitación,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,65,5120,70,340,190,Poison Gas,95,1000000,0.6,40,50.0,109,60,45,35,Veneno,,1.0,1,0
Weezing,Levitación,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,90,5120,70,490,60,Poison Gas,120,1000000,1.2,65,50.0,110,85,70,60,Veneno,,9.5,1,0
Rhyhorn,"Lightningrod, Rock Head, Reckless",1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,85,5120,70,345,120,Spikes,95,1250000,1.0,80,50.0,111,30,30,25,Tierra,Roca,115.0,1,0
Rhydon,"Lightningrod, Rock Head, Reckless",1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,130,5120,70,485,60,Taladro,120,1250000,1.9,105,50.0,112,45,45,40,Tierra,Roca,120.0,1,0
Chansey,"Cura Natural, Serene Grace, Healer",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,10240,140,450,30,Egg,5,800000,1.1,250,0.0,113,35,105,50,Normal,,34.6,1,0
Tangela,"Clorofila, Leaf Guard, Regenerator",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,55,5120,70,435,45,Vine,115,1000000,1.0,65,50.0,114,100,40,60,Planta,,35.0,1,0
Kangaskhan,"Early Bird, Scrappy, Foco Interno",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,125,5120,70,590,45,Parent,100,1000000,2.2,105,0.0,115,60,100,100,Normal,,80.0,1,0
Horsea,"Swift Swim, Sniper, Damp",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,40,5120,70,295,225,Dragon,70,1000000,0.4,30,50.0,116,70,25,60,Agua,,8.0,1,0
Seadra,"Poison Point, Sniper, Damp",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,65,5120,70,440,75,Dragon,95,1000000,1.2,55,50.0,117,95,45,85,Agua,,25.0,1,0
Goldeen,"Swift Swim, Water Veil, Lightningrod",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,67,5120,70,320,225,Goldfish,60,1000000,0.6,45,50.0,118,35,50,63,Agua,,15.0,1,0
Seaking,"Swift Swim, Water Veil, Lightningrod",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,92,5120,70,450,60,Goldfish,65,1000000,1.3,80,50.0,119,65,80,68,Agua,,39.0,1,0
Staryu,"Illuminate, Cura Natural, Analytic",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,45,5120,70,340,225,Starshape,55,1250000,0.8,30,,120,70,55,85,Agua,,34.5,1,0
Starmie,"Illuminate, Cura Natural, Analytic",2.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5,75,5120,70,520,60,Mysterious,85,1250000,1.1,60,,121,100,85,115,Agua,Psíquico,80.0,1,0
Mr. Mime,"Soundproof, Filter, Technician",1.0,1.0,0.0,1.0,1.0,0.25,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,2.0,1.0,45,6400,70,460,45,Barrier,65,1000000,1.3,40,50.0,122,100,120,90,Psíquico,Hada,54.5,1,0
Scyther,"Enjambre, Technician, Steadfast",0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,110,6400,70,500,45,Mantis,80,1000000,1.5,70,50.0,123,55,80,105,Bicho,Volador,56.0,1,0
Jynx,"Despiste, Forewarn, Dry Skin",2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,0.5,2.0,2.0,1.0,50,6400,70,455,45,Humanshape,35,1000000,1.4,65,0.0,124,115,95,95,Hielo,Psíquico,40.6,1,0
Electabuzz,"Electricidad Estática, Vital Spirit",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,83,6400,70,490,45,Electric,57,1000000,1.1,65,75.4,125,95,85,105,Eléctrico,,30.0,1,0
Magmar,"Flame Body, Vital Spirit",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,95,6400,70,495,45,Spitfire,57,1000000,1.3,65,75.4,126,100,85,93,Fuego,,44.5,1,0
Pinsir,"Hyper Cutter, Mold Breaker, Moxie",1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,155,6400,70,600,45,Stagbeetle,120,1250000,1.5,65,50.0,127,65,90,105,Bicho,,55.0,1,0
Tauros,"Intimidación, Anger Point, Sheer Force",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100,5120,70,490,45,Wild Bull,95,1250000,1.4,75,100.0,128,40,70,110,Normal,,88.4,1,0
Magikarp,"Swift Swim, Rattled",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,10,1280,70,200,255,Fish,55,1250000,0.9,20,50.0,129,15,20,80,Agua,,10.0,1,0
Gyarados,"Intimidación, Moxie",0.5,1.0,1.0,4.0,1.0,0.5,0.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5,155,1280,70,640,45,Atrocious,109,1250000,6.5,95,50.0,130,70,130,81,Agua,Volador,235.0,1,0
Lapras,"Water Absorb, Shell Armor, Hydration",1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.25,1.0,1.0,1.0,2.0,1.0,0.5,85,10240,70,535,45,Transport,80,1250000,2.5,130,50.0,131,85,95,60,Agua,Hielo,220.0,1,0
Ditto,"Flexibilidad, Imposter",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,48,5120,70,288,35,Transform,48,1000000,0.3,48,,132,48,48,48,Normal,,4.0,1,0
Eevee,"Run Away, Adaptability, Anticipation",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,55,8960,70,325,45,Evolution,50,1000000,0.3,55,88.1,133,45,65,55,Normal,,6.5,1,0
Vaporeon,"Water Absorb, Hydration",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,65,8960,70,525,45,Bubble Jet,60,1000000,1.0,130,88.1,134,110,95,65,Agua,,29.0,1,0
Jolteon,"Volt Absorb, Quick Feet",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,65,8960,70,525,45,Lightning,60,1000000,0.8,65,88.1,135,110,95,130,Eléctrico,,24.5,1,0
Flareon,"Flash Fire, Agallas",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,130,8960,70,525,45,Llama,60,1000000,0.9,65,88.1,136,95,110,65,Fuego,,25.0,1,0
Porygon,"Trace, Download, Analytic",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,60,5120,70,395,45,Virtual,70,1000000,0.8,65,,137,85,75,40,Normal,,36.5,1,0
Omanyte,"Swift Swim, Shell Armor, Weak Armor",1.0,1.0,1.0,2.0,1.0,2.0,0.25,0.5,1.0,4.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,40,7680,70,355,45,Spiral,100,1000000,0.4,35,88.1,138,90,55,35,Roca,Agua,7.5,1,0
Omastar,"Swift Swim, Shell Armor, Weak Armor",1.0,1.0,1.0,2.0,1.0,2.0,0.25,0.5,1.0,4.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,60,7680,70,495,45,Spiral,125,1000000,1.0,70,88.1,139,115,70,55,Roca,Agua,35.0,1,0
Kabuto,"Swift Swim, Battle Armor, Weak Armor",1.0,1.0,1.0,2.0,1.0,2.0,0.25,0.5,1.0,4.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,80,7680,70,355,45,Marisco,90,1000000,0.5,30,88.1,140,55,45,55,Roca,Agua,11.5,1,0
Kabutops,"Swift Swim, Battle Armor, Weak Armor",1.0,1.0,1.0,2.0,1.0,2.0,0.25,0.5,1.0,4.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,115,7680,70,495,45,Marisco,105,1000000,1.3,60,88.1,141,65,70,80,Roca,Agua,40.5,1,0
Aerodactyl,"Rock Head, Presión, Unnerve",0.5,1.0,1.0,2.0,1.0,1.0,0.5,0.5,1.0,1.0,0.0,2.0,0.5,0.5,1.0,2.0,2.0,2.0,135,8960,70,615,45,Fossil,85,1250000,1.8,80,88.1,142,70,95,150,Roca,Volador,59.0,1,0
Snorlax,"Immunity, Thick Fat, Gluttony",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,110,10240,70,540,25,Sleeping,65,1250000,2.1,160,88.1,143,65,110,30,Normal,,460.0,1,0
Articuno,"Presión, Snow Cloak",0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,85,20480,35,580,3,Freeze,100,1250000,1.7,90,,144,95,125,85,Hielo,Volador,55.4,1,1
Zapdos,"Presión, Electricidad Estática",0.5,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,0.5,1.0,90,20480,35,580,3,Electric,85,1250000,1.6,90,,145,125,90,100,Eléctrico,Volador,52.6,1,1
Moltres,"Presión, Flame Body",0.25,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,0.25,0.0,1.0,1.0,1.0,1.0,4.0,0.5,2.0,100,20480,35,580,3,Llama,90,1250000,2.0,90,,146,125,85,90,Fuego,Volador,60.0,1,1
Dratini,"Mudar, Marvel Scale",1.0,1.0,2.0,0.5,2.0,1.0,0.5,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,64,10240,35,300,45,Dragon,45,1250000,1.8,41,50.0,147,50,50,50,Dragón,,3.3,1,0
Dragonair,"Mudar, Marvel Scale",1.0,1.0,2.0,0.5,2.0,1.0,0.5,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,84,10240,35,420,45,Dragon,65,1250000,4.0,61,50.0,148,70,70,70,Dragón,,16.5,1,0
Dragonite,"Foco Interno, Multiscale",0.5,1.0,2.0,1.0,2.0,0.5,0.5,1.0,1.0,0.25,0.0,4.0,1.0,1.0,1.0,2.0,1.0,0.5,134,10240,35,600,45,Dragon,95,1250000,2.2,91,50.0,149,100,100,80,Dragón,Volador,210.0,1,0
Mewtwo,"Presión, Unnerve",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,150,30720,0,780,3,Genetic,70,1250000,2.0,106,,150,194,120,140,Psíquico,,122.0,1,1
Mew,Sincronía,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,100,30720,100,600,45,New Species,100,1059860,0.4,100,,151,100,100,100,Psíquico,,4.0,1,1
Chikorita,"Espesura, Leaf Guard",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,49,5120,70,318,45,Leaf,65,1059860,0.9,45,88.1,152,49,65,45,Planta,,6.4,2,0
Bayleef,"Espesura, Leaf Guard",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,62,5120,70,405,45,Leaf,80,1059860,1.2,60,88.1,153,63,80,60,Planta,,15.8,2,0
Meganium,"Espesura, Leaf Guard",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,82,5120,70,525,45,Herb,100,1059860,1.8,80,88.1,154,83,100,80,Planta,,100.5,2,0
Cyndaquil,"Mar Llamas, Flash Fire",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,52,5120,70,309,45,Fire Mouse,43,1059860,0.5,39,88.1,155,60,50,65,Fuego,,7.9,2,0
Quilava,"Mar Llamas, Flash Fire",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,64,5120,70,405,45,Volcano,58,1059860,0.9,58,88.1,156,80,65,80,Fuego,,19.0,2,0
Typhlosion,"Mar Llamas, Flash Fire",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,84,5120,70,534,45,Volcano,78,1059860,1.7,78,88.1,157,109,85,100,Fuego,,79.5,2,0
Totodile,"Torrente, Sheer Force",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,65,5120,70,314,45,Big Jaw,64,1059860,0.6,50,88.1,158,44,48,43,Agua,,9.5,2,0
Croconaw,"Torrente, Sheer Force",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,80,5120,70,405,45,Big Jaw,80,1059860,1.1,65,88.1,159,59,63,58,Agua,,25.0,2,0
Feraligatr,"Torrente, Sheer Force",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,105,5120,70,530,45,Big Jaw,100,1059860,2.3,85,88.1,160,79,83,78,Agua,,88.8,2,0
Sentret,"Run Away, Vista Lince, Frisk",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,46,3840,70,215,255,Scout,34,1000000,0.8,35,50.0,161,35,45,20,Normal,,6.0,2,0
Furret,"Run Away, Vista Lince, Frisk",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,76,3840,70,415,90,Long Body,64,1000000,1.8,85,50.0,162,45,55,90,Normal,,32.5,2,0
Hoothoot,"Insomnia, Vista Lince, Tinted Lens",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,30,3840,70,262,255,Owl,30,1000000,0.7,60,50.0,163,36,56,50,Normal,Volador,21.2,2,0
Noctowl,"Insomnia, Vista Lince, Tinted Lens",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,50,3840,70,452,90,Owl,50,1000000,1.6,100,50.0,164,86,96,70,Normal,Volador,40.8,2,0
Ledyba,"Enjambre, Early Bird, Rattled",0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,20,3840,70,265,255,Five Star,30,800000,1.0,40,50.0,165,40,80,55,Bicho,Volador,10.8,2,0
Ledian,"Enjambre, Early Bird, Iron Fist",0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,35,3840,70,390,90,Five Star,50,800000,1.4,55,50.0,166,55,110,85,Bicho,Volador,35.6,2,0
Spinarak,"Enjambre, Insomnia, Sniper",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,60,3840,70,250,255,String Spit,40,800000,0.5,40,50.0,167,40,40,30,Bicho,Veneno,8.5,2,0
Ariados,"Enjambre, Insomnia, Sniper",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,90,3840,70,400,90,Long Leg,70,800000,1.1,70,50.0,168,60,70,40,Bicho,Veneno,33.5,2,0
Crobat,"Foco Interno, Infiltrator",0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0,90,3840,70,535,90,Murciélago,80,1000000,1.8,85,50.0,169,70,80,130,Veneno,Volador,75.0,2,0
Chinchou,"Volt Absorb, Illuminate, Water Absorb",1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,2.0,2.0,0.5,1.0,1.0,1.0,1.0,0.25,0.5,38,5120,70,330,190,Angler,38,1250000,0.5,75,50.0,170,56,56,67,Agua,Eléctrico,12.0,2,0
Lanturn,"Volt Absorb, Illuminate, Water Absorb",1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,2.0,2.0,0.5,1.0,1.0,1.0,1.0,0.25,0.5,58,5120,70,460,75,Light,58,1250000,1.2,125,50.0,171,76,76,67,Agua,Eléctrico,22.5,2,0
Pichu,"Electricidad Estática, Lightningrod",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,40,2560,70,205,190,Tiny Mouse,15,1000000,0.3,20,50.0,172,35,35,60,Eléctrico,,2.0,2,0
Cleffa,"Cute Charm, Magic Guard, Friend Guard",0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,25,2560,140,218,150,Star Shape,28,800000,0.3,50,24.6,173,45,55,15,Hada,,3.0,2,0
Igglybuff,"Cute Charm, Competitive, Friend Guard",0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,30,2560,70,210,170,Globo,15,800000,0.3,90,24.6,174,40,20,15,Normal,Hada,1.0,2,0
Togepi,"Hustle, Serene Grace, Super Luck",0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,20,2560,70,245,190,Spike Ball,65,800000,0.3,35,88.1,175,40,65,20,Hada,,1.5,2,0
Togetic,"Hustle, Serene Grace, Super Luck",0.25,0.5,0.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,0.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,40,2560,70,405,75,Happiness,85,800000,0.6,55,88.1,176,80,105,40,Hada,Volador,3.2,2,0
